Student Type,2015,2016,2017,2018,2019,2020,2021,2022,2023
正式修讀學位外國生,15792,17788,21164,28389,31811,32040,34535,35512,37062
僑生（含港澳）,22865,24626,25290,24575,23366,24315,26555,28284,28109
正式修讀學位陸生,7813,9327,9462,9006,8353,6032,4293,3121,2128
外國交換生,4126,4301,4856,5242,5766,2475,5190,6100,6100
,50596,56042,60772,67212,69296,64862,70573,73017,73399
