Year,labor_force_thousands,employed_thousands,unemployed_thousands
2015,11638.0,11198.0,440.0
2016,11727.0,11267.0,460.0
2017,11795.0,11352.0,443.0
2018,11874.0,11434.0,440.0
2019,11946.0,11500.0,446.0
2020,11964.0,11504.0,460.0
2021,11919.0,11447.0,471.0
2022,11853.0,11418.0,434.0
2023,11943.0,11528.0,415.0
